date,close
09-01-2018,174.33
10-01-2018,174.29
11-01-2018,175.28
12-01-2018,177.09
16-01-2018,176.19
17-01-2018,179.1
18-01-2018,179.26
19-01-2018,178.46
22-01-2018,177
23-01-2018,177.04
24-01-2018,174.22
25-01-2018,171.11
26-01-2018,171.51
29-01-2018,167.96
30-01-2018,166.97
31-01-2018,167.43
01-02-2018,167.78
02-02-2018,160.5
05-02-2018,156.49
06-02-2018,163.03
07-02-2018,159.54
08-02-2018,155.15
09-02-2018,156.41
12-02-2018,162.71
13-02-2018,164.34
14-02-2018,167.37
15-02-2018,172.99
16-02-2018,172.43
20-02-2018,171.85
21-02-2018,171.07
22-02-2018,172.5
23-02-2018,175.5
26-02-2018,178.97
27-02-2018,178.39
28-02-2018,178.12
01-03-2018,175
02-03-2018,176.21
05-03-2018,176.82
06-03-2018,176.67
07-03-2018,175.03
08-03-2018,176.94
09-03-2018,179.98
12-03-2018,181.72
13-03-2018,179.97
14-03-2018,178.44
15-03-2018,178.65
16-03-2018,178.02
19-03-2018,175.3
20-03-2018,175.24
21-03-2018,171.27
22-03-2018,168.85
23-03-2018,164.94
26-03-2018,172.77
27-03-2018,168.34
28-03-2018,166.48
29-03-2018,167.78
02-04-2018,166.68
03-04-2018,168.39
04-04-2018,171.61
05-04-2018,172.8
06-04-2018,168.38
09-04-2018,170.05
10-04-2018,173.25
11-04-2018,172.44
12-04-2018,174.14
13-04-2018,174.73
16-04-2018,175.82
17-04-2018,178.24
18-04-2018,177.84
19-04-2018,172.8
20-04-2018,165.72
23-04-2018,165.24
24-04-2018,162.94
25-04-2018,163.65
26-04-2018,164.22
27-04-2018,162.32
30-04-2018,165.26
01-05-2018,169.1
02-05-2018,176.57
03-05-2018,176.89
04-05-2018,183.83
07-05-2018,185.16
08-05-2018,186.05
09-05-2018,187.36
10-05-2018,190.04
11-05-2018,188.59
14-05-2018,188.15
15-05-2018,186.44
16-05-2018,188.18
17-05-2018,186.99
18-05-2018,186.31
21-05-2018,187.63
22-05-2018,187.16
23-05-2018,188.36
24-05-2018,188.15
25-05-2018,188.58
29-05-2018,187.9
30-05-2018,187.5
31-05-2018,186.87
01-06-2018,190.24
04-06-2018,191.83
05-06-2018,193.31
06-06-2018,193.98
07-06-2018,193.46
08-06-2018,191.7
11-06-2018,191.23
12-06-2018,192.28
13-06-2018,190.7
14-06-2018,190.8
15-06-2018,188.84
18-06-2018,188.74
19-06-2018,185.69
20-06-2018,186.5
21-06-2018,185.46
22-06-2018,184.92
25-06-2018,182.17
26-06-2018,184.43
27-06-2018,184.16
28-06-2018,185.5
29-06-2018,185.11
02-07-2018,187.18
03-07-2018,183.92
05-07-2018,185.4
06-07-2018,187.97
09-07-2018,190.58
10-07-2018,190.35
11-07-2018,187.88
12-07-2018,191.03
13-07-2018,191.33
16-07-2018,190.91
17-07-2018,191.45
18-07-2018,190.4
19-07-2018,191.88
20-07-2018,191.44
23-07-2018,191.61
24-07-2018,193
25-07-2018,194.82
26-07-2018,194.21
27-07-2018,190.98
30-07-2018,189.91
31-07-2018,190.29
01-08-2018,201.5
02-08-2018,207.39
03-08-2018,207.99
06-08-2018,209.07
07-08-2018,207.11
08-08-2018,207.25
09-08-2018,208.88
10-08-2018,207.53
13-08-2018,208.87
14-08-2018,209.75
15-08-2018,210.24
16-08-2018,213.32
17-08-2018,217.58
20-08-2018,215.46
21-08-2018,215.04
22-08-2018,215.05
23-08-2018,215.49
24-08-2018,216.16
27-08-2018,217.94
28-08-2018,219.7
29-08-2018,222.98
30-08-2018,225.03
31-08-2018,227.63
04-09-2018,228.36
05-09-2018,226.87
06-09-2018,223.1
07-09-2018,221.3
10-09-2018,218.33
11-09-2018,223.85
12-09-2018,221.07
13-09-2018,226.41
14-09-2018,223.84
17-09-2018,217.88
18-09-2018,218.24
19-09-2018,218.37
20-09-2018,220.03
21-09-2018,217.66
24-09-2018,220.79
25-09-2018,222.19
26-09-2018,220.42
27-09-2018,224.95
28-09-2018,225.74
01-10-2018,227.26
02-10-2018,229.28
03-10-2018,232.07
04-10-2018,227.99
05-10-2018,224.29
08-10-2018,223.77
09-10-2018,226.87
10-10-2018,216.36
11-10-2018,214.45
12-10-2018,222.11
15-10-2018,217.36
16-10-2018,222.15
17-10-2018,221.19
18-10-2018,216.02
19-10-2018,219.31
22-10-2018,220.65
23-10-2018,222.73
24-10-2018,215.09
25-10-2018,219.8
26-10-2018,216.3
29-10-2018,212.24
30-10-2018,213.3
31-10-2018,218.86
01-11-2018,222.22
02-11-2018,207.48
05-11-2018,201.59
06-11-2018,203.77
07-11-2018,209.95
08-11-2018,208.49
09-11-2018,204.47
12-11-2018,194.17
13-11-2018,192.23
14-11-2018,186.8
15-11-2018,191.41
16-11-2018,193.53
19-11-2018,185.86
20-11-2018,176.98
21-11-2018,176.78
23-11-2018,172.29
26-11-2018,174.62
27-11-2018,174.24
28-11-2018,180.94
29-11-2018,179.55
30-11-2018,178.58
03-12-2018,184.82
04-12-2018,176.69
06-12-2018,174.72
07-12-2018,168.49
10-12-2018,169.6
11-12-2018,168.63
12-12-2018,169.1
13-12-2018,170.95
14-12-2018,165.48
17-12-2018,163.94
18-12-2018,166.07
19-12-2018,160.89
20-12-2018,156.83
21-12-2018,150.73
24-12-2018,146.83
26-12-2018,157.17
27-12-2018,156.15
28-12-2018,156.23
31-12-2018,157.74
02-01-2019,157.92
03-01-2019,142.19
04-01-2019,148.26
07-01-2019,147.93
08-01-2019,150.75
